,CVID1_baseline,CVID2_baseline,CVID4_baseline,CVID1_progression,CVID2_progression,CVID4_progression,baseline,progression,enrichment,hypergeo,ttest
IGHV1-2,12,0,4,0,0,6,16,6,0.6980756469807564,1.8320646776895777,0.875801228834902
IGHV1-3,7,16,5,2,5,3,28,10,0.6735817646305545,1.9330175009329278,0.21743746459878596
IGHV1-8,1,8,3,0,12,0,12,12,1.2798053527980535,1.8088247677453093,0.7993571013073856
IGHV1-18,16,10,9,4,15,2,35,21,0.9598540145985401,1.291496929769782,0.49842676232842487
IGHV1-24,10,1,2,2,6,1,13,9,1.0471134704711347,1.3179381429377734,0.8587088727229967
IGHV1-46,3,11,5,0,4,4,19,8,0.7584031720284762,1.7771967510740683,0.4851199795384392
IGHV1-58,0,2,0,0,0,1,2,1,0.8532035685320357,1.5479781791779994,0.8302200733195088
IGHV1-69,0,0,4,0,0,3,4,3,1.0969760166840459,1.4566335746656542,0.9558127105236731
IGHV1-69D,23,24,8,7,22,11,55,40,1.0777308234088872,1.5355558578088826,0.16443056135656992
IGHV2-5,1,10,3,1,14,1,14,16,1.365125709651257,1.9254236461870504,0.8479885370466453
IGHV2-26,4,1,1,1,4,2,6,7,1.3782519183979038,1.8293863976042273,0.09138059006198607
IGHV2-70,4,3,0,1,5,0,7,6,1.1813587871982032,1.5854353790806215,0.7326874687501088
IGHV3-7,14,22,7,5,21,4,43,30,1.051894810518948,1.3754579358035324,0.9968747270908749
IGHV3-11,8,7,5,4,1,1,20,6,0.5906793935991016,1.9479824161942092,0.6288371768624553
IGHV3-13,1,0,1,0,0,0,2,0,0.0,2.0,0.18377834776420832
IGHV3-15,21,36,1,3,45,7,58,55,1.2458282195379282,1.9742922971947847,0.6889740672038018
IGHV3-20,1,1,1,0,1,0,3,1,0.6399026763990268,1.724828220449373,0.12745564374762128
IGHV3-21,23,15,13,6,13,10,51,29,0.9278588807785888,1.4768970227269522,0.8991621257908883
IGHV3-23,48,30,21,8,35,11,99,54,0.9033920137398025,1.7201856074113997,0.19470105623379463
IGHV3-30,25,37,11,8,53,10,73,71,1.2620302784536361,1.992448870189202,0.40864190359579733
IGHV3-33,49,61,18,15,64,17,128,96,1.0969760166840459,1.8061846042845682,0.4387540229105414
IGHV3-43,2,18,3,2,19,0,23,21,1.2216323822163238,1.8195338840817707,0.9909047133673416
IGHV3-48,35,12,1,10,15,6,48,31,1.004404200930118,1.1248450357443596,0.5375869658748441
IGHV3-49,4,0,2,1,0,3,6,4,1.0238442822384428,1.3131197798776382,0.6677926702957366
IGHV3-53,19,0,4,1,0,2,23,3,0.2953396967995508,1.9992780083704438,0.33862620442129265
IGHV3-64D,5,0,1,4,0,1,6,5,1.1634594116345942,1.5484103847530073,0.49021173282091196
IGHV3-66,3,1,0,1,0,1,4,2,0.8532035685320357,1.5046357362301772,0.5389400785215681
IGHV3-72,2,0,1,0,0,0,3,0,0.0,2.0,0.12108204875188226
IGHV3-73,12,2,2,0,3,1,16,4,0.5119221411192214,1.9618213653914023,0.2398250860425333
IGHV3-74,10,3,4,2,8,5,17,15,1.1998175182481752,1.7255539090484218,0.4040887316112123
IGHV4-4,8,15,5,6,17,1,28,24,1.1813587871982032,1.7701957572288014,0.679740594986903
IGHV4-30-4,25,17,17,5,15,4,59,24,0.7401283967988743,1.962651409424938,0.17344182386661744
IGHV4-31,0,6,0,0,2,1,6,3,0.8532035685320357,1.501619184187983,0.8606594745924131
IGHV4-34,58,51,19,19,24,33,128,76,0.9535804589475693,1.4722056806399302,0.5543627623098661
IGHV4-38-2,8,2,0,0,7,0,10,7,1.053957349363103,1.341212590680635,0.8250658786035123
IGHV4-39,16,48,10,3,33,12,74,48,1.0070599497427306,1.1317259025273656,0.8462586384264489
IGHV4-59,51,18,15,10,21,12,84,43,0.8666398452018316,1.8200164978123543,0.8156252506929549
IGHV4-61,7,7,0,1,4,0,14,5,0.6735817646305545,1.839558298798397,0.5038734807472793
IGHV4/OR15-8,1,0,0,0,1,0,1,1,1.2798053527980535,1.6949577735223822,0.9480820318985352
IGHV5-10-1,8,0,6,1,1,0,14,2,0.3199513381995134,1.9920808341815806,0.25689597346884907
IGHV5-51,8,4,8,4,9,4,20,17,1.176037351219833,1.6991278367046192,0.7133330425149254
IGHV6-1,3,3,0,0,2,0,6,2,0.6399026763990268,1.7680119322489176,0.3475943241509492
IGHV7-4-1,0,2,2,0,3,1,4,4,1.2798053527980535,1.6817198517208345,0.8846770476823238
