,S-HC008_baseline,S-HC010_baseline,S-HC013_baseline,S-HC014_baseline,S-S065_convalescence,S-S068_convalescence,S-S062_convalescence,S-S064_convalescence,S-S067_convalescence,baseline,convalescence,enrichment,hypergeo,ttest
IGHV1-2,3,20,4,1,0,18,3,9,0,28,30,1.0171908180806957,1.2095890720603069,0.8629222246610894
IGHV1-3,10,0,5,15,5,7,2,0,7,30,21,0.8097636708642402,1.8754179904461,0.5782027402820272
IGHV1-8,4,2,6,7,5,4,2,1,3,19,15,0.8676039330688287,1.663677842543447,0.6586231582358459
IGHV1-18,13,14,13,25,12,31,4,7,3,65,57,0.9188067881351858,1.6929782653828154,0.27256100605192546
IGHV1-24,4,6,3,3,2,3,1,0,1,16,7,0.5985209741170471,1.9722308869680758,0.028079831886669168
IGHV1-45,0,0,1,0,1,0,0,0,0,1,1,0.9832844574780059,1.517004328402872,0.8023362716734306
IGHV1-46,7,6,6,11,12,21,1,0,6,30,40,1.1237536656891496,1.764346487040198,0.9745862006129852
IGHV1-58,0,3,1,1,0,4,0,1,0,5,5,0.9832844574780059,1.2879737635117452,0.759859506084257
IGHV1-69,0,0,1,0,0,0,0,0,1,1,1,0.9832844574780059,1.517004328402872,0.9382851725020872
IGHV1-69-2,0,0,0,1,1,0,0,0,0,1,1,0.9832844574780059,1.517004328402872,0.8590876329903862
IGHV1-69D,2,16,3,25,8,17,8,4,11,46,48,1.0042054033817933,1.116100261083761,0.3735038123901205
IGHV1/OR15-1,1,0,0,0,0,1,0,0,0,1,1,0.9832844574780059,1.517004328402872,0.4773456704873802
IGHV2-5,9,8,9,12,11,8,1,1,6,38,27,0.8168824723663434,1.899816473633019,0.2267244419582656
IGHV2-26,0,2,1,5,0,2,3,2,2,8,9,1.0411247196825943,1.3204585349035298,0.3004013939408841
IGHV2-70,4,3,3,4,4,0,3,2,4,14,13,0.9468665146084501,1.3651251445094583,0.43958990279512145
IGHV3-7,17,18,20,17,22,24,3,4,9,72,62,0.9099050203527815,1.7583666469888293,0.27581806053302144
IGHV3-11,5,12,11,15,8,9,3,4,10,43,34,0.868355105305252,1.807941279240595,0.8781501731545011
IGHV3-13,2,7,0,5,2,3,0,0,2,14,7,0.6555229716520039,1.9348124082169165,0.26656923038725533
IGHV3-15,8,12,12,21,9,26,3,8,5,53,51,0.9643751409880442,1.365327744522253,0.868322425758304
IGHV3-20,2,1,8,2,3,14,2,2,0,13,21,1.2146455062963601,1.8548494675859009,0.8384890545872402
IGHV3-21,9,14,12,23,9,40,5,8,8,58,70,1.075467375366569,1.6707387590638254,0.4539089304261066
IGHV3-23,27,36,39,36,45,129,12,10,27,138,223,1.2148057286293368,1.999992207852255,0.3527939046504061
IGHV3-30,19,19,20,54,17,19,5,2,0,112,43,0.5455642796329581,1.9999999987145527,0.011469405220033462
IGHV3-33,19,21,25,85,25,92,15,15,16,150,163,1.024123748044185,1.3934448771768109,0.6826172642477593
IGHV3-43,13,18,11,19,12,16,2,3,2,61,35,0.7169782502443792,1.9971218419582824,0.00830372915283976
IGHV3-48,12,14,13,9,11,24,1,8,9,48,53,1.031961905868006,1.334323549861046,0.9766534218133922
IGHV3-49,2,4,2,8,7,14,0,2,5,16,28,1.2514529458810983,1.938560530993343,0.2772891522931055
IGHV3-53,1,5,3,12,2,1,1,7,6,21,17,0.8797808303750578,1.6429713082722808,0.5537847038890319
IGHV3-64,2,4,1,1,3,3,1,0,1,8,8,0.9832844574780059,1.2498844850405528,0.8104604767920656
IGHV3-64D,0,5,0,6,0,5,2,2,2,11,11,0.9832844574780059,1.2312322981714685,0.47528246099898375
IGHV3-66,10,1,7,0,9,13,3,1,2,18,28,1.1970419482340942,1.8719401726512164,0.8961197954110666
IGHV3-72,4,6,0,0,3,3,0,0,3,10,9,0.9315326439265319,1.4064130406428352,0.6909856234520759
IGHV3-73,2,0,2,0,2,6,0,2,1,4,11,1.4421505376344086,1.9592199687639997,0.3631725083781205
IGHV3-74,14,15,6,8,15,14,0,3,7,43,39,0.9353193619912739,1.5253556643297241,0.5303124760360323
IGHV3/OR16-8,0,0,0,0,1,0,0,0,0,0,1,1.9665689149560117,2.0,0.407083822065589
IGHV4-4,2,0,8,1,6,22,0,0,0,11,28,1.41189563125047,1.9955220496511095,0.9723434332629528
IGHV4-28,1,0,0,0,0,7,0,0,0,1,7,1.7207478005865102,1.9911316376648174,0.6833857876569928
IGHV4-30-2,2,12,8,35,3,16,4,2,2,57,27,0.6321114369501466,1.9997037943303695,0.21902139527126507
IGHV4-31,1,0,4,23,3,5,1,0,0,28,9,0.4783546009352461,1.9995161612662695,0.27848065434084446
IGHV4-34,12,18,3,28,11,34,6,9,9,61,69,1.0437942702458831,1.4561338004535207,0.40349340187626026
IGHV4-39,14,23,17,30,25,47,11,12,18,84,113,1.1280319156854282,1.950074106812779,0.004563749143388534
IGHV4-59,24,30,14,20,28,64,11,15,17,88,135,1.1905237825966888,1.9979018301399236,0.061418170502662774
IGHV4-61,2,17,3,11,3,8,5,1,3,33,20,0.7421014773418912,1.9616766248227673,0.676239194222021
IGHV4/OR15-8,0,0,0,0,0,1,0,0,1,0,2,1.9665689149560117,2.0,0.28311246818989316
IGHV5-10-1,0,5,0,5,0,9,4,0,3,10,16,1.2101962553575456,1.8045666004867602,0.42594524981227244
IGHV5-51,15,15,9,17,18,30,9,1,12,56,70,1.0925382860866732,1.7572861496319145,0.607712076172598
IGHV6-1,4,8,5,6,5,6,3,2,3,23,19,0.8896383186705767,1.6250058026095002,0.8289598447802302
