,S-HC008_baseline,S-HC010_baseline,S-HC013_baseline,S-HC014_baseline,S-S055_progression,S-S059_progression,S-S054_progression,S-S061_progression,S-S057_progression,baseline,progression,enrichment,hypergeo,ttest
IGHV1-2,3,20,4,1,5,1,17,13,6,28,42,1.0106312292358803,1.177144034820185,0.9943979602746841
IGHV1-3,10,0,5,15,23,10,11,4,3,30,51,1.0605389442598745,1.5625575963363105,0.75532641010696
IGHV1-8,4,2,6,7,10,2,0,7,4,19,23,0.9224015187470337,1.5601142380999506,0.44438086891748096
IGHV1-18,13,14,13,25,26,12,16,17,9,65,80,0.9293160728605797,1.7426403170490863,0.2871123474586847
IGHV1-24,4,6,3,3,42,3,4,5,1,16,55,1.3048055776519583,1.999259099957428,0.5459143356031727
IGHV1-45,0,0,1,0,0,0,0,1,0,1,1,0.8421926910299004,1.6699406824838334,0.6671016366727979
IGHV1-46,7,6,6,11,21,4,5,18,7,30,55,1.0898964236857533,1.7399373467248973,0.6002223698894397
IGHV1-58,0,3,1,1,5,1,1,2,2,5,11,1.158014950166113,1.6927941074042963,0.4116774696384967
IGHV1-69,0,0,1,0,1,0,0,0,0,1,1,0.8421926910299004,1.6699406824838334,0.48399137563674866
IGHV1-69-2,0,0,0,1,0,0,0,0,0,1,0,0.0,2.0,0.2923519924402384
IGHV1-69D,2,16,3,25,9,10,16,19,10,46,64,0.9800060404711568,1.2813533126294758,0.546003105277181
IGHV1/OR15-1,1,0,0,0,0,0,0,0,0,1,0,0.0,2.0,0.2923519924402384
IGHV2-5,9,8,9,12,18,7,3,11,7,38,46,0.9224015187470337,1.6735365380396319,0.3348223360983607
IGHV2-26,0,2,1,5,0,2,3,5,1,8,11,0.9751704843504109,1.2935250754790575,0.5929300005665016
IGHV2-70,4,3,3,4,30,2,9,2,4,14,47,1.2978051304395186,1.9978519732175237,0.34884598602732647
IGHV3-7,17,18,20,17,38,9,12,17,148,72,224,1.2746700188560653,1.9999999993468163,0.4862490111814174
IGHV3-11,5,12,11,15,20,5,11,7,8,43,51,0.9138686647345727,1.7399176671551753,0.20811089667379665
IGHV3-13,2,7,0,5,6,0,1,5,1,14,13,0.811000369139904,1.8326046040520847,0.383242606184047
IGHV3-15,8,12,12,21,18,7,18,9,4,53,56,0.8653723063793471,1.9298493135300543,0.19429069087204467
IGHV3-20,2,1,8,2,9,2,4,5,1,13,21,1.0403556771545828,1.3482795172721476,0.79982213755011
IGHV3-21,9,14,12,23,19,8,27,24,2,58,80,0.9764552939477106,1.3345118666585938,0.9153751120570751
IGHV3-23,27,36,39,36,51,22,35,31,16,138,155,0.8910571133763451,1.9831200629528019,0.13980620212343295
IGHV3-30,19,19,20,54,2,0,45,9,1,112,57,0.5681063122923588,1.9999999999998634,0.11599800039905016
IGHV3-33,19,21,25,85,73,33,49,44,13,150,212,0.9864356381123695,1.3000233000301056,0.7915619055354853
IGHV3-43,13,18,11,19,119,12,3,18,15,61,167,1.2337384158069593,1.9999951084245917,0.5418861101179016
IGHV3-48,12,14,13,9,35,9,12,22,8,48,86,1.0810234541577826,1.7871300960903125,0.8086771294168297
IGHV3-49,2,4,2,8,6,5,8,6,1,16,26,1.0427147603227338,1.3730839511793578,0.46801478510335126
IGHV3-53,1,5,3,12,25,4,4,9,3,21,45,1.148444578677137,1.8929829237607956,0.37739446274743904
IGHV3-64,2,4,1,1,6,0,2,1,0,8,9,0.8917334375610709,1.5720216566051193,0.2877702706289257
IGHV3-64D,0,5,0,6,0,0,10,2,0,11,12,0.8788097645529395,1.6419804868875216,0.9626989451591011
IGHV3-66,10,1,7,0,10,1,8,5,2,18,26,0.9953186348535186,1.1591959990880558,0.561986537573431
IGHV3-72,4,6,0,0,7,3,3,3,0,10,16,1.0365448504983388,1.3216373613039978,0.9352024645710781
IGHV3-73,2,0,2,0,5,1,2,3,2,4,13,1.2880594098104359,1.917387182811613,0.29258512368461803
IGHV3-74,14,15,6,8,20,4,8,11,3,43,46,0.8705812087050655,1.888994659613314,0.18129795565691062
IGHV4-4,2,0,8,1,21,11,2,11,8,11,53,1.3948816445182723,1.9999741185576472,0.12322229083221461
IGHV4-28,1,0,0,0,1,1,0,0,1,1,3,1.2632890365448506,1.7517872311203149,0.5363274402558099
IGHV4-30-2,2,12,8,35,0,9,15,4,2,57,30,0.5808225455378623,1.9999987078961954,0.32352545762626334
IGHV4-31,1,0,4,23,0,0,4,0,0,28,4,0.2105481727574751,1.9999999911373711,0.17679074218373747
IGHV4-34,12,18,3,28,25,14,12,43,14,61,108,1.0764119601328903,1.8099181883737794,0.4135549516500585
IGHV4-39,14,23,17,30,37,18,18,25,20,84,118,0.9839478964507746,1.2810696894684106,0.8813497712989019
IGHV4-59,24,30,14,20,39,11,21,23,19,88,113,0.9469430257351118,1.6857300799412467,0.3421066422276431
IGHV4-61,2,17,3,11,40,6,15,19,5,33,85,1.2133284531786699,1.9972997156772854,0.22572128616529083
IGHV5-10-1,0,5,0,5,0,0,8,5,0,10,13,0.9520439115990178,1.3832314145646591,0.9199760534752571
IGHV5-51,15,15,9,17,10,8,8,16,10,56,52,0.811000369139904,1.9870435188942719,0.12380570264645183
IGHV6-1,4,8,5,6,10,0,9,6,2,23,27,0.9095681063122923,1.6444176795302323,0.30288853149000317
